id,area,mean,stddev,mode,min,max,perim.,width,height,major,minor,angle,circ.,feret,intden,median,skew,kurt,%area,area_exc,fractal,skelarea,slope,histcum1,histcum2,histcum3,nb1,nb2,nb3,symetrieh,symetriev,symetriehc,symetrievc,convperim,convarea,fcons,thickr,esd,elongation,range,centroids,sr,perimareaexc,feretareaexc,perimferet,perimmajor,circex,cdexc
385,8338,234.44279203646,9.96179105445007,240,175,255,674.732106143464,113,111,109.110387080321,97.2984480037329,137.794201224742,0.230148952708038,118.139747756629,1954784,237,-1.23663144238686,1.73819058369972,13.1086591508755,7245,1.49950645996826,2104,1.23207850011892,227,235,239,8,10,0,1.81830175101943,1.86237706884145,2.6637687019814,2.71279822078447,444,9621,236.824668390288,5.59,103.035291643212,1.12371134020619,80,1,12.5,7.93020798956522,1.38631784113881,5.72033898305085,6.19266055045872,0.199820806806106,0.0117484562808374
386,22024,221.5,19.203,232,114,254,1047.96,182,183,182,154.1,140.9,0.252,212.6,4878384,227,-1.597,3.318,2.57,21459,1.281,2606,2.448,212,226,233,6,4,0,2.011,1.995,2,2,726,24729,183.433,3.172,167.456942923389,1.18181818181818,140,1,13.5714285714286,7.15412530809984,1.45403501013861,4.92018779342723,5.75824175824176,0.245525598571555,0.00682645544666015
387,6309,222.03,17.261,242,148,249,871.67,121,99,117.1,68.6,26.4,0.104,130.8,1400765,226,-0.894,0.668,1.92,6188,1.294,1253,0.693,208,224,235,1,1,0,2.485,2.548,3,3,436,7902,387.69,2.984,89.6262700759891,1.69565217391304,101,1,16.8316831683168,11.0851438287441,1.66531403849252,6.65648854961832,7.45299145299145,0.102265041560126,0.012712320904523
388,14102,233.49,9.602,242,111,253,2398.65,118,276,215.1,83.5,90.8,0.031,278.7,3292641,236,-2.472,16.877,5.57,13316,1.48,3716,2.245,227,234,239,11,14,0,4.058,4.087,5,5,784,23429,183.861,3.126,133.997104669673,2.55952380952381,142,1,7.04225352112676,20.7894669849608,2.41778294656276,8.59856630824373,11.1581395348837,0.0290752297097541,0.00866588869735756
389,20467,236.07,11.381,243,175,255,1155.62,188,168,204.4,127.5,17.7,0.193,213.6,4831554,239,-1.153,1.417,26.02,15142,1.553,4055,2.506,226,234,239,12,14,0,1.858,1.912,3,3,708,24703,215.835,5.692,161.429222144241,1.59375,80,0,13.75,9.39433868137271,1.73909037873163,5.4018691588785,5.66666666666667,0.142389327117302,0
390,3147,217.28,36.55,243,123,248,635.96,109,56,95.6,41.9,5.8,0.098,109.1,683779,236,-1.408,0.389,2.7,3062,1.333,715,0.49,208,235,239,1,1,0,2.91,3.097,3,3,326,4775,273.098,5.072,2002,2.28571428571429,125,5,29.6,0.207707380796865,0.0355976485956891,5.8348623853211,6.625,60.310700346658,0.00163291966035271
391,22955,240.141537791331,10.3352304304601,243,155,255,1307.3393206059,277,201,295.668995867923,98.851127977083,150.247778536495,0.168775931645963,316.185072386411,5512449,243,-2.64810069014411,10.8516390087175,43.3761707688957,12998,1.65979854569039,5205,2.76254255905255,232,238,240,6,26,0,3.19268133304291,3.2608799825746,7.53091620279826,7.59981946742892,952,26864,313.243766053082,4.23076923076923,170.959684573281,2.98989898989899,100,0,10,11.4640301947392,2.7717165581772,4.13607594936709,4.41554054054054,0.0956170237743096,0
392,19442,239.37,11.377,243,162,255,1407.77,269,178,258.4,95.8,159.1,0.123,284.3,4653853,242,-2.25,7.098,42.07,11262,1.63,4073,2.211,229,237,240,7,6,0,3.326,3.481,12,12,890,25991,274.933,6.471,157.335066748456,2.6875,93,0,11.8279569892473,13.2676770969765,2.67615077808334,4.95774647887324,5.45736434108527,0.071387155508959,0
393,8590,233.93,11.02,243,169,255,1460.76,179,173,177,61.8,36.7,0.051,234.1,2009463,237,-1.143,1.731,15.45,7263,1.499,1817,1.163,225,233,239,9,12,0,4.684,4.712,6,6,700,13338,265.476,3.942,104.580723315891,2.85483870967742,86,1,12.7906976744186,17.1432119217434,2.74573004085418,6.24358974358974,8.25423728813559,0.0427587968317438,0.0117338890634794
394,4726,225.81,28.967,241,100,255,480.77,83,123,131.5,45.8,64,0.257,130.2,1067194,235,-2.584,6.194,12.04,4157,1.417,1176,0.617,223,233,238,2,9,0,2.999,3.084,3,4,407,5652,333.344,3.855,3008,2.8695652173913,155,-3,18.7096774193548,0.115708443589127,0.0312725523213856,3.7,3.64393939393939,108.154042740975,-7.21674284339668e-4
395,13702,232.57,17.633,242,105,255,1249.2,91,259,237.2,73.5,93.9,0.11,259,3186658,237,-3.55,16.916,17.08,11362,1.529,3033,1.81,226,234,238,15,11,0,3.564,3.597,4,4,696,18234,283.129,4.766,132.083035405616,3.2027027027027,150,1,12,11.7175022585755,2.42981031622983,4.82239382239382,5.27004219409283,0.0915250073047062,0.00938150701247037
396,10853,215.88,34.145,243,99,255,897.99,199,195,228.3,60.5,47.3,0.169,264.5,2342931,229,-1.654,1.881,9.1,9865,1.381,1712,1.04,204,225,236,5,4,0,4.678,4.768,6,6,784,15018,243.68,4.282,6908,3.73770491803279,156,-2,21.7948717948718,0.0910288900152053,0.026862645717182,3.38867924528302,3.93859649122807,138.356301462783,-2.0273694880892e-4
397,11497,242.08,10.957,251,173,255,1249.66,218,122,167.2,87.5,173,0.093,218.4,2783234,243,-1.729,5.045,49.88,5762,1.455,1594,1.083,230,236,239,6,12,0,3.502,3.607,3,3,676,18045,302.94,4.035,7318,1.89772727272727,82,4,13.4146341463415,0.216938562998959,0.0378340853870184,5.73394495412844,7.48502994011976,58.0187720191807,6.94203401596668e-4
398,11164,231.47,17.187,242,124,255,1388.8,256,115,256.2,55.5,17.1,0.073,264.9,2584089,236,-2.228,7.277,18.61,9086,1.496,2280,1.317,221,232,238,12,17,0,4.666,4.64,7,7,738,15865,235.216,3.53,119.224352702891,4.57142857142857,131,1.4142135623731,12.9770992366412,14.5718898426298,2.7800941744398,5.24150943396226,5.42578125,0.0591804284523247,0.0148364033440272
399,5855,232.81366353544,19.4716323533614,243,150,254,547.494516090228,131,107,147.295044337373,50.6114619671076,150.170993564821,0.245458014256272,147.85127662621,1363124,239,-2.44731714563294,5.58991934579786,21.6908625106746,4585,1.47384387118487,1522,0.849986931298528,229,236,240,3,7,3,3.06490179333903,3.1867634500427,5.57327209098863,5.87773403324584,472,7223,251.888680555556,4.07416296872219,3726,2.88235294117647,104,-1,18.2692307692308,0.119302071973828,0.0322791712104689,3.69594594594595,3.72108843537415,105.718916085939,-2.18102508178844e-4
400,3886,232.028049408132,20.6477844322333,243,152,253,687.359523141434,72,118,109.466961771235,45.1991065686175,110.24968976393,0.103358155917118,120.220630509077,901661,239,-2.37161389389237,4.81813545778726,17.1127123005661,3221,1.43994868381989,1077,0.634610768966719,230,237,240,3,5,5,3.01711271230057,3.10820895522388,5.10393772893773,4.97802197802198,376,5180,272.522770100502,3.22425436765537,2472,2.42222222222222,101,5,20.7920792079208,0.21328779882024201,0.0372555107109593,5.725,6.30275229357798,59.0894594873736,0.00155231294628997
