id,area,mean,stddev,mode,min,max,perim.,width,height,major,minor,angle,circ.,feret,intden,median,skew,kurt,%area,area_exc,fractal,skelarea,slope,histcum1,histcum2,histcum3,nb1,nb2,nb3,symetrieh,symetriev,symetriehc,symetrievc,convperim,convarea,fcons,thickr,esd,elongation,range,centroids,sr,perimareaexc,feretareaexc,perimferet,perimmajor,circex,cdexc
92,3493,218.55,24.644,242,132,254,359.97,66,89,79.3,56.1,66.4,0.339,101.2,763383,227,-0.982,0.227,9.13,3174,1.25,547,0.314,200,223,234,1,2,0,2.285,2.24,3,3,306,4108,103.807,2.376,2222,1.41071428571429,122,-1,20.4918032786885,0.113421550094518,0.0318210459987398,3.56435643564356,4.55696202531646,110.181382127006,-3.15059861373661e-4
93,2712,205.448377581121,32.2166493385063,243,126,249,413.813275223096,61,81,70.3975788537932,49.0503466389555,80.7139544059248,0.199017245725966,85.4400374531753,557176,215,-0.663969975213184,-0.79257108367402,1.2905604719764,2677,1.22106293905215,410,0.217855519220448,178,214,232,2,1,0,2.4087389380531,2.47492625368732,2.4010152284264,2.41446700507614,280,3408,61.4775965073529,2.4,1726,1.42857142857143,123,0,26.0162601626016,0.154650728427344,0.0317519611505417,4.87058823529412,5.91428571428571,81.6509080937852,0
94,3627,209.2,29.93,243,112,251,389.29,105,67,86.9,53.2,169.1,0.301,105.1,758783,218,-1.027,0.304,1.38,3577,1.201,466,0.303,191,216,232,1,2,0,2.868,2.86,3,3,339,4460,79.254,2.621,2308,1.64150943396226,139,0,21.5827338129496,0.10875034945485,0.0293542074363992,3.7047619047619,4.47126436781609,114.961400735455,0
95,873,185.59,48.02,239,67,248,161.48,37,36,36.4,30.5,57.9,0.421,41,162021,199,-0.558,-0.97,0.34,870,1.088,114,0.057,144,198,227,1,1,0,1.871,1.905,2,2,142,1050,2.452,1.442,554,1.16129032258065,181,4,26.5193370165746,0.185057471264368,0.0471264367816092,3.92682926829268,4.47222222222222,67.072039475414,0.00459770114942529
96,2380,171.48,57.883,236,40,245,224.49,69,50,73,41.5,25.1,0.593,76,408113,189,-0.355,-1.382,0.04,2379,1.085,149,0.136,111,188,226,1,1,0,2.075,2.097,2,2,234,2527,7.086,2.162,1514,1.73809523809524,205,2,28.2926829268293,0.0941572089113073,0.0319461958806221,2.94736842105263,3.06849315068493,132.28051190956,8.40689365279529e-4
97,2636,208.011760242792,25.8658092730188,242,151,251,326.315800540038,59,77,77.5705256980451,43.26719987675,120.381189911068,0.311084994798925,80.9197132965756,548319,211,-0.304339315299853,-1.14745924404828,1.28983308042489,2602,1.16340504939851,448,0.216324759903621,185,209,230,1,1,0,2.3562215477997,2.38524279210926,2.36628807434177,2.39468249870934,268,3078,37.9759164663462,2.58041958041958,1678,1.81395348837209,100,5,26,0.125288239815527,0.031129900076864,4.02469135802469,4.17948717948718,100.918815859761,0.00192159877017679
98,1981,192.44,44.269,243,56,248,272.29,45,67,63.3,39.8,70.7,0.336,75.1,381233,200,-0.587,-0.654,1.01,1961,1.168,187,0.155,159,198,233,1,1,0,2.048,2.152,2,2,220,2212,40.92,1.988,50.2223808487845,1.575,192,1,22.9166666666667,6.14228702960917,1.69364532066429,3.62666666666667,4.31746031746032,0.333080838759169,0.0225819376088572
99,4869,208.61,33.205,241,86,253,561.01,97,161,112.8,55,71.7,0.194,162.1,1015716,218,-1.521,2.066,2.73,4736,1.237,538,0.398,195,216,230,5,6,0,4.815,4.872,3,3,510,8675,82.996,2.633,3098,2.05454545454545,167,-1,19.7604790419162,0.118454391891892,0.0342060810810811,3.46296296296296,4.9646017699115,105.709291704449,-2.11148648648649e-4
100,1597,188.93,44.818,243,73,244,248.49,63,39,57.3,35.5,169.4,0.325,66.3,301728,200,-0.459,-1.071,0.13,1595,1.112,118,0.112,147,198,228,1,1,0,2.144,2.238,2,2,200,1848,24.019,2.022,45.0928326116474,1.58333333333333,171,1.4142135623731,26.3157894736842,6.20971026436807,1.65258418325924,3.75757575757576,4.35087719298246,0.325887115145403,0.0354107115898256
181,3075,188.038048780488,30.9773068884317,166,137,254,324.333044482741,108,58,86.1480446214941,45.4474807555153,3.62012276513881,0.367343692025244,108.226614102078,578217,180,0.364108441071314,-1.23281841615264,1.39837398373984,3032,1.14834144538755,215,0.224386943176104,160,178,214,1,1,1,3.24016260162602,3.29105691056911,3.11820592134335,3.18758285461776,328,3872,5.43385416666667,1.93925581086209,1956,1.91111111111111,117,0,26.4957264957265,0.106860158311346,0.0356200527704486,3,3.76744186046512,116.874956143365,0
